Запрос,Кол-во сессий с поиском,Кол-во пользователей поиска,Сесиий с добавлением,Кол-во заказов с поиска,GMV поиска,CR в добавление,Доля переходов в заказ,CR с поиска в заказ,Тип пользователя
тросы для лебедок,387,381,13,1,1305,0.028423772609819122,0.07692307692307693,0.002583979328165375,0
щупы измерительные,384,367,103,6,2674,0.1875,0.05825242718446602,0.015625,0
xiaomi,384,360,48,3,13109,0.08072916666666667,0.0625,0.0078125,0
лейки садовые,382,364,123,4,1361,0.18586387434554974,0.032520325203252036,0.010471204188481676,0
наборы напильников, надфилей и рашпилей,381,371,86,2,593,0.13385826771653545,0.023255813953488372,0.005249343832020997,0
набор сверел,380,372,63,1,2640,0.10789473684210527,0.015873015873015872,0.002631578947368421,0
ножовка,379,359,72,1,507,0.11081794195250659,0.013888888888888888,0.002638522427440633,0
налобный фонарь,378,366,24,2,1095,0.06084656084656084,0.08333333333333333,0.005291005291005291,0
масла трансмиссионные,378,355,46,3,11590,0.09523809523809523,0.06521739130434782,0.007936507936507936,0
аккумуляторные цепные пилы бытовые,376,358,30,1,3735,0.05585106382978723,0.03333333333333333,0.0026595744680851063,0
пинцеты,375,361,64,4,1905,0.11466666666666667,0.0625,0.010666666666666666,0
труборез,373,358,45,2,699,0.0938337801608579,0.044444444444444446,0.005361930294906166,0
смазочные масла для цепей и бензопил,372,359,73,9,4105,0.15053763440860216,0.1232876712328767,0.024193548387096774,0
рейсмус,372,355,21,1,28775,0.0456989247311828,0.047619047619047616,0.002688172043010753,0
щетка по металлу,371,342,75,1,210,0.1347708894878706,0.013333333333333334,0.0026954177897574125,0
канистры,369,354,66,6,22251,0.10298102981029811,0.09090909090909091,0.016260162601626018,0
велосипед,369,347,21,3,59420,0.032520325203252036,0.14285714285714285,0.008130081300813009,0
кожухи для болгарок (ушм),368,352,41,2,2228,0.07608695652173914,0.04878048780487805,0.005434782608695652,0
широкая малярная лента,367,357,83,6,1804,0.20708446866485014,0.07228915662650602,0.01634877384196185,0
ключи torx,366,351,8,3,286,0.01639344262295082,0.375,0.00819672131147541,0
цепные тали,366,349,66,3,20140,0.12295081967213115,0.045454545454545456,0.00819672131147541,0
стеклодомкраты и присоски вакуумные для стекла,366,351,47,7,11630,0.10109289617486339,0.14893617021276595,0.01912568306010929,0
наборы электромонтажного инструмента,366,354,33,1,10971,0.06557377049180328,0.030303030303030304,0.00273224043715847,0
растворитель 646,364,338,67,2,476,0.17032967032967034,0.029850746268656716,0.005494505494505495,0
буры sds-max,364,344,57,3,6533,0.09615384615384616,0.05263157894736842,0.008241758241758242,0
люстры,364,335,101,5,13861,0.11263736263736264,0.04950495049504951,0.013736263736263736,0
стрипер,357,345,69,5,7931,0.15406162464985995,0.057971014492753624,0.011204481792717087,0
киянки резиновые,356,347,87,3,1013,0.17696629213483145,0.034482758620689655,0.008426966292134831,0
биотуалеты,355,322,41,2,16885,0.08732394366197183,0.04878048780487805,0.005633802816901409,0
автомобильные щетки стеклоочистителя (дворники),354,334,61,4,3095,0.096045197740113,0.06557377049180328,0.011299435028248588,0
эпоксидные смолы,349,337,41,8,17995,0.10315186246418338,0.1951219512195122,0.022922636103151862,0
ножовки по дереву ручные,348,334,73,3,2445,0.16379310344827586,0.0410958904109589,0.008620689655172414,0
силикон,346,331,26,2,806,0.06358381502890173,0.07692307692307693,0.005780346820809248,0
шуруповерт макита,346,334,41,2,25559,0.09826589595375723,0.04878048780487805,0.005780346820809248,0
металлоискатели,345,312,23,1,32912,0.04927536231884058,0.043478260869565216,0.002898550724637681,0
компресор,344,328,39,1,10111,0.07848837209302326,0.02564102564102564,0.0029069767441860465,0
автомойка,344,319,35,2,52156,0.06395348837209303,0.05714285714285714,0.005813953488372093,0
карнизы для штор,343,324,55,1,456,0.10204081632653061,0.01818181818181818,0.0029154518950437317,0
пороги для пола,341,317,62,2,1085,0.10263929618768329,0.03225806451612903,0.005865102639296188,0
коронка по металлу,340,330,101,7,3265,0.11176470588235295,0.04950495049504951,0.014705882352941176,0
пресс,340,334,11,1,17554,0.029411764705882353,0.09090909090909091,0.0029411764705882353,0
шлифовальные машины жираф,334,316,14,1,259,0.03293413173652695,0.07142857142857142,0.0029940119760479044,0
угольники и механические угломеры,334,328,81,1,399,0.16467065868263472,0.012345679012345678,0.0029940119760479044,0
сварка,333,321,47,1,5507,0.08408408408408409,0.02127659574468085,0.003003003003003003,0
приводные ремни для станков,328,314,26,3,1314,0.06097560975609756,0.11538461538461539,0.009146341463414634,0
коронки по металлу сверлильные,327,314,88,3,1735,0.10703363914373089,0.03409090909090909,0.009174311926605505,0
нить и лен сантехнический,323,311,105,3,639,0.2043343653250774,0.02857142857142857,0.009287925696594427,0
рулетки,323,307,96,1,947,0.1393188854489164,0.010416666666666666,0.0030959752321981426,0
станки для заточки сверл,323,314,14,2,63,0.034055727554179564,0.07142857142857142,0.0030959752321981426,0
масляные фильтры для автомобилей,320,311,39,6,6279,0.1,0.15384615384615385,0.01875,0
коронка по бетону,320,307,34,1,752,0.0625,0.029411764705882353,0.003125,0
совки для мусора,319,304,60,2,382,0.14733542319749215,0.03333333333333333,0.006269592476489028,0
уплотнители для дверей и окон,319,303,51,4,2809,0.109717868338558,0.0784313725490196,0.012539184952978056,0
велоспорт,318,302,20,1,690,0.040880503144654086,0.05,0.0031446540880503146,0
вибраторы глубинные,318,309,33,3,8676,0.059748427672955975,0.09090909090909091,0.009433962264150943,0
кабель и провод силовой кг,317,294,38,1,1270,0.07886435331230283,0.02631578947368421,0.0031545741324921135,0
накидные гаечные ключи,315,303,42,2,420,0.05714285714285714,0.047619047619047616,0.006349206349206349,0
проточные водонагреватели электрические,313,303,40,4,56504,0.08306709265175719,0.1,0.012779552715654952,0
всё для сада,312,310,74,2,2256,0.10576923076923077,0.02702702702702703,0.00641025641025641,0
малярный скотч,312,307,80,1,38,0.1858974358974359,0.0125,0.003205128205128205,0
битумные мастики (гидроизоляционные),309,303,57,3,3637,0.14563106796116504,0.05263157894736842,0.009708737864077669,0
космофен,307,272,31,3,1799,0.08143322475570032,0.0967741935483871,0.009771986970684038,0
компрессометры,305,293,8,1,2199,0.019672131147540985,0.125,0.003278688524590164,0
телескопические магниты,305,292,63,2,489,0.14098360655737704,0.031746031746031744,0.006557377049180328,0
беруши,304,291,51,6,1275,0.10855263157894737,0.11764705882352941,0.019736842105263157,0
защитные очки,304,297,41,2,2661,0.1118421052631579,0.04878048780487805,0.006578947368421052,0
плашкодержатели,304,292,53,3,1258,0.09868421052631579,0.05660377358490566,0.009868421052631578,0
терморегуляторы и термостаты,303,296,9,1,1190,0.019801980198019802,0.1111111111111111,0.0033003300330033004,0
малярные ванночки и кюветы,303,294,88,4,386,0.22772277227722773,0.045454545454545456,0.013201320132013201,0
точило,300,293,24,1,2163,0.04666666666666667,0.041666666666666664,0.0033333333333333335,0
цианоакрилатный клей cosmofen cosmo ca-500.200 (50),298,285,29,2,1408,0.09731543624161074,0.06896551724137931,0.006711409395973154,0
картриджи для смесителей,298,280,36,4,2291,0.07046979865771812,0.1111111111111111,0.013422818791946308,0
ревизионные люки,298,290,54,2,1011,0.13087248322147652,0.037037037037037035,0.006711409395973154,0
реле давления,296,290,6,1,2780,0.013513513513513514,0.16666666666666666,0.0033783783783783786,0
метизы,296,281,124,4,1635,0.12837837837837837,0.03225806451612903,0.013513513513513514,0
пневмодолота и пневмозубила,295,289,37,4,7634,0.09152542372881356,0.10810810810810811,0.013559322033898305,0
распиратор,295,286,33,2,361,0.09491525423728814,0.06060606060606061,0.006779661016949152,0
cosmofen,294,276,13,3,1280,0.034013605442176874,0.23076923076923078,0.01020408163265306,0
фитинг,291,275,21,1,777,0.030927835051546393,0.047619047619047616,0.003436426116838488,0
очистители монтажной пены,291,283,37,2,658,0.12371134020618557,0.05405405405405406,0.006872852233676976,0
olfa,290,281,54,6,6407,0.1206896551724138,0.1111111111111111,0.020689655172413793,0
зенкер,289,285,37,1,673,0.08304498269896193,0.02702702702702703,0.0034602076124567475,0
кровельные горелки,288,284,40,1,691,0.11458333333333333,0.025,0.003472222222222222,0
индикаторы часового типа,287,272,27,1,2722,0.08013937282229965,0.037037037037037035,0.003484320557491289,0
сверло по бетону,286,275,17,1,38,0.04895104895104895,0.058823529411764705,0.0034965034965034965,0
бойлер,284,265,7,1,6215,0.02464788732394366,0.14285714285714285,0.0035211267605633804,0
канифоль,281,272,40,2,94,0.12811387900355872,0.05,0.0071174377224199285,0
опрыскиватель аккумуляторный,281,260,16,2,5994,0.0498220640569395,0.125,0.0071174377224199285,0
электродвигатели аир,279,270,17,1,4271,0.04659498207885305,0.058823529411764705,0.0035842293906810036,0
кухонные вытяжки,279,269,36,1,5346,0.08602150537634409,0.027777777777777776,0.0035842293906810036,0
детекторы проводки | металла,277,266,8,1,3912,0.02527075812274368,0.125,0.0036101083032490976,0
щетки для автомобиля,276,270,80,4,2188,0.18478260869565216,0.05,0.014492753623188406,0
инфракрасные обогреватели,274,262,27,1,1649,0.072992700729927,0.037037037037037035,0.0036496350364963502,0
скобы для степлера,273,256,34,2,3770,0.09157509157509157,0.029411764705882353,0.003663003663003663,0
насадки для шуруповертов и гайковертов,271,268,10,1,75,0.033210332103321034,0.1,0.0036900369003690036,0
пилки для лобзика,271,257,66,1,1841,0.1070110701107011,0.015151515151515152,0.0036900369003690036,0
уровень лазерный,271,260,38,1,8490,0.12177121771217712,0.02631578947368421,0.0036900369003690036,0
шланги высокого давления для моек,269,255,21,5,13113,0.04460966542750929,0.23809523809523808,0.01858736059479554,0
масло моторное,269,259,21,2,4093,0.04460966542750929,0.09523809523809523,0.007434944237918215,0
диспенсеры для скотча,269,263,36,1,629,0.11895910780669144,0.027777777777777776,0.0037174721189591076,0
аккумуляторные газонокосилки,268,256,34,4,130776,0.05970149253731343,0.11764705882352941,0.014925373134328358,0
насадки для мфи,267,250,42,5,2653,0.07116104868913857,0.11904761904761904,0.018726591760299626,0
стекла и фильтры для сварочных масок,267,262,66,2,1361,0.13108614232209737,0.030303030303030304,0.00749063670411985,0
туалетные ершики,267,252,87,5,1146,0.2247191011235955,0.05747126436781609,0.018726591760299626,0
реле контроля напряжения,265,252,35,2,6090,0.10566037735849057,0.05714285714285714,0.007547169811320755,0
вибратор,264,257,16,1,4033,0.05303030303030303,0.0625,0.003787878787878788,0
колеры для краски (красители),263,254,126,3,653,0.20152091254752852,0.015873015873015872,0.0076045627376425855,0
клей для обоев,263,254,35,5,6694,0.09505703422053231,0.14285714285714285,0.019011406844106463,0
